"","tract_name","pop_total","pop_total_25plus","median_household_income","pop_white","pop_black","pop_amerindian","pop_asian","pop_nativehawaii","pop_otherrace","pop_tworaces","pop_hispanic","mhinc_2544ages","mhinc_4465ages","fips_state_code","fips_county_code","tract","mhinc","pct_popam","pct_popas","pct_pophi","pct_popbl","pct_popwh","pct_pophp","pct_poptr","pct_popothr","pocrace","race_brks_nonwhiteasian","inc_brks"
"10858","Census Tract 3364.02, Middlesex County, Massachusetts",5079,3737,79435,4419,217,0,269,0,0,56,118,93883,96029,25,17,"336402",189912,0,5.3,2.3,4.3,87,0,1.1,0,6.6,"0-19%","$150-199k"
"10859","Census Tract 3426, Middlesex County, Massachusetts",5263,3496,58949,2092,1284,7,240,0,210,153,1277,60139,64712,25,17,"342600",124851,0.1,4.6,24.3,24.4,39.7,0,2.9,4,48.8,"40-59%","$100-149k"
"10860","Census Tract 3528, Middlesex County, Massachusetts",2194,1631,96852,1495,131,3,230,0,18,62,255,120417,87917,25,17,"352800",208334,0.1,10.5,11.6,6,68.1,0,2.8,0.8,17.7,"0-19%","$200k+"
"10861","Census Tract 3505, Middlesex County, Massachusetts",1552,1323,108107,1306,14,0,82,0,0,63,87,114722,110000,25,17,"350500",224722,0,5.3,5.6,0.9,84.1,0,4.1,0,6.5,"0-19%","$200k+"
"10862","Census Tract 3423, Middlesex County, Massachusetts",7543,5098,64383,3384,1182,0,1096,0,0,554,1327,77061,59550,25,17,"342300",136611,0,14.5,17.6,15.7,44.9,0,7.3,0,33.3,"20-39%","$100-149k"
"10863","Census Tract 3425, Middlesex County, Massachusetts",8050,5409,53103,3329,1868,0,360,0,38,398,2057,54167,60019,25,17,"342500",114186,0,4.5,25.6,23.2,41.4,0,4.9,0.5,48.8,"40-59%","$100-149k"
"10864","Census Tract 3507, Middlesex County, Massachusetts",6015,4689,67600,4708,527,0,297,0,0,84,399,112708,35811,25,17,"350700",148519,0,4.9,6.6,8.8,78.3,0,1.4,0,15.4,"0-19%","$100-149k"
"10865","Census Tract 3508, Middlesex County, Massachusetts",1989,1637,123523,1564,90,5,126,0,0,120,84,136250,98500,25,17,"350800",234750,0.3,6.3,4.2,4.5,78.6,0,6,0,9,"0-19%","$200k+"
"10866","Census Tract 3509, Middlesex County, Massachusetts",3698,2824,130990,3179,27,0,308,8,0,95,81,140448,182604,25,17,"350900",323052,0,8.3,2.2,0.7,86,0.2,2.6,0,2.9,"0-19%","$200k+"
"10867","Census Tract 3533, Middlesex County, Massachusetts",3766,2902,111625,2510,220,0,643,0,9,172,212,107727,123689,25,17,"353300",231416,0,17.1,5.6,5.8,66.6,0,4.6,0.2,11.4,"0-19%","$200k+"
"10868","Census Tract 3011.01, Middlesex County, Massachusetts",4097,2787,78517,3735,1,0,48,0,96,58,159,74758,87888,25,17,"301101",162646,0,1.2,3.9,0,91.2,0,1.4,2.3,3.9,"0-19%","$150-199k"
"10869","Census Tract 3536, Middlesex County, Massachusetts",4915,2509,98636,3321,244,10,560,0,19,234,527,84811,145469,25,17,"353600",230280,0.2,11.4,10.7,5,67.6,0,4.8,0.4,15.9,"0-19%","$200k+"
"10870","Census Tract 3566.02, Middlesex County, Massachusetts",4257,3067,131375,3364,67,0,402,0,0,215,209,141319,142500,25,17,"356602",283819,0,9.4,4.9,1.6,79,0,5.1,0,6.5,"0-19%","$200k+"
"10871","Census Tract 3573, Middlesex County, Massachusetts",3196,2250,123618,2512,30,0,385,0,22,77,170,119643,145179,25,17,"357300",264822,0,12,5.3,0.9,78.6,0,2.4,0.7,6.2,"0-19%","$200k+"
"10872","Census Tract 3652.02, Middlesex County, Massachusetts",4770,3138,142938,4088,5,7,447,0,0,154,69,243125,181898,25,17,"365202",425023,0.1,9.4,1.4,0.1,85.7,0,3.2,0,1.6,"0-19%","$200k+"
